                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.37919,                0.18925,                0.78269,                0.99438,                0.99591,                0.99495,                0.88349,                0.57107,                0.22544,                0.81519,              0.0002192,              0.0002192,              0.0002192
                     37,                0.37714,                0.18347,                0.78265,                0.99568,                0.99591,                0.99496,                0.88472,                0.56087,                0.22231,                0.81403,             0.00020506,             0.00020506,             0.00020506
                     38,                0.37457,                 0.1826,                0.78321,                0.99501,                 0.9954,                0.99494,                0.88469,                0.56116,                0.22053,                0.81328,             0.00019092,             0.00019092,             0.00019092
                     39,                0.36888,                0.18027,                0.78051,                0.99427,                0.99591,                0.99494,                0.88588,                0.55981,                0.21743,                0.81314,             0.00017679,             0.00017679,             0.00017679
                     40,                0.36049,                0.17749,                0.77909,                0.99497,                0.99489,                0.99496,                0.88467,                 0.5643,                0.21912,                0.81462,             0.00016265,             0.00016265,             0.00016265
                     41,                0.40066,                0.18752,                 0.7839,                0.99386,                0.99318,                0.99495,                0.89065,                0.54984,                0.21462,                0.81402,             0.00014851,             0.00014851,             0.00014851
                     42,                0.38043,                0.18115,                0.78085,                0.99388,                0.99602,                0.99493,                0.89318,                0.55253,                0.21962,                0.81458,             0.00013437,             0.00013437,             0.00013437
                     43,                 0.3714,                 0.1781,                0.78589,                0.99439,                0.99685,                0.99492,                0.89114,                0.55638,                0.21879,                0.81504,             0.00012024,             0.00012024,             0.00012024
                     44,                0.35471,                0.17764,                0.78157,                 0.9949,                0.99685,                0.99493,                0.89161,                0.56071,                 0.2229,                0.81502,              0.0001061,              0.0001061,              0.0001061
                     45,                0.35541,                0.17181,                0.78109,                0.99439,                 0.9974,                0.99493,                0.89233,                0.55914,                0.22012,                0.81363,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.35316,                0.17936,                 0.7808,                0.99541,                0.99687,                0.99495,                0.89204,                 0.5578,                0.21853,                0.81445,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                0.34037,                0.17193,                0.77364,                0.99541,                0.99686,                0.99495,                 0.8914,                0.56274,                0.22143,                0.81557,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.34141,                0.16512,                0.78066,                0.99481,                0.99744,                0.99494,                0.89358,                0.55385,                0.21744,                0.81359,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.34133,                 0.1709,                0.77949,                0.99439,                0.99692,                0.99491,                0.89318,                   0.56,                0.21932,                0.81494,             3.5414e-05,             3.5414e-05,             3.5414e-05
                     50,                0.33135,                0.17246,                0.78175,                 0.9949,                 0.9969,                0.99495,                0.89318,                0.55659,                 0.2181,                 0.8144,             2.1277e-05,             2.1277e-05,             2.1277e-05
