                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.99703,                0.60987,                0.93731,                0.97925,                0.98916,                0.98963,                0.78492,                0.86349,                0.41999,                0.88884,             0.00066395,             0.00066395,             0.00066395
                      2,                0.86838,                0.44077,                0.88334,                0.99063,                0.97249,                0.99028,                0.80091,                0.86603,                0.44909,                0.88121,              0.0013174,              0.0013174,              0.0013174
                      3,                0.90225,                0.47864,                0.89594,                 0.9885,                0.99029,                0.99386,                 0.7406,                 1.0496,                0.44581,                0.95713,              0.0019577,              0.0019577,              0.0019577
                      4,                0.91743,                0.48582,                0.90067,                0.99388,                0.98875,                0.99487,                0.84422,                0.67865,                0.38309,                0.84646,              0.0019406,              0.0019406,              0.0019406
                      5,                0.80631,                0.42171,                  0.867,                 0.9935,                0.98978,                0.99472,                 0.8272,                0.76151,                0.34883,                0.86382,              0.0019208,              0.0019208,              0.0019208
                      6,                 0.7499,                0.40718,                0.85392,                0.99335,                 0.9908,                0.99483,                0.84054,                0.65105,                0.34875,                0.83586,               0.001901,               0.001901,               0.001901
                      7,                  0.759,                 0.3825,                0.85286,                0.99284,                0.99309,                0.99478,                0.82078,                0.74899,                0.34951,                0.85402,              0.0018812,              0.0018812,              0.0018812
